shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,326.8997118854985,169.0,0.832343720751924
gravity,1.0,1949.8208677397317,594.5,0.0
gravity,1.5,544.8479129337807,207.9,0.7205651442404664
gravity,2.0,367.8996371560735,157.3,0.8113161864030363
obs_noise,0.0,1949.8208677397317,594.5,0.0
obs_noise,0.01,1679.0953909946534,517.1,0.13884633261665125
obs_noise,0.1,1144.5778301444195,378.8,0.41298308522503646
obs_noise,0.3,289.28955649517627,128.3,0.8516327518688802
friction,0.5,682.8741541150973,233.3,0.6497759535691616
friction,1.0,1949.8208677397317,594.5,0.0
friction,1.5,400.34422982087807,155.1,0.7946764051792283
friction,2.0,302.28683264613676,130.3,0.8449668697019571
reward_perturb,0.0,1949.8208677397317,594.5,0.0
reward_perturb,0.1,1949.9725844227755,594.5,-7.781057509126981e-05
reward_perturb,0.5,1949.6893400918966,594.5,6.745627252804879e-05
reward_perturb,1.0,1962.61032679754,594.5,-0.006559299507669143
