shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,1582.7292591268993,704.9,0.5547005178032167
gravity,1.0,3554.302940840771,962.8,0.0
gravity,1.5,582.4936277335789,204.4,0.8361159311885243
gravity,2.0,396.7648826476581,142.3,0.8883705499357905
obs_noise,0.0,3554.302940840771,962.8,0.0
obs_noise,0.01,3413.43515971432,938.8,0.039633026073216136
obs_noise,0.1,2426.029548652366,720.9,0.3174387245453849
obs_noise,0.3,248.800747518988,143.2,0.9300001289535174
friction,0.5,3365.2382866458997,945.5,0.05319317383513405
friction,1.0,3554.302940840771,962.8,0.0
friction,1.5,3397.4516733916425,974.4,0.04412996586386227
friction,2.0,1747.9514758892678,563.5,0.5082153927273881
reward_perturb,0.0,3554.302940840771,962.8,0.0
reward_perturb,0.1,3556.5903182005377,962.8,-0.0006435516043057297
reward_perturb,0.5,3549.2467982443277,962.8,0.0014225412635331864
reward_perturb,1.0,3552.568811321214,962.8,0.0004878958120398044
