env,config,seed,baseline,gravity_audc,obs_noise_audc,friction_audc,reward_perturb_audc
hopper-medium-v2,2Q,42,1712.4,0.5955,0.1459,0.7380,0.0023
hopper-medium-v2,2Q,43,1655.4,0.6548,0.1546,0.7298,0.0010
hopper-medium-v2,2Q,44,1418.0,0.6069,0.1104,0.6803,0.0016
hopper-medium-v2,2Q,45,1498.9,0.6054,0.1261,0.7031,0.0026
hopper-medium-v2,2Q_tau0.5,42,1483.2,0.5456,0.1044,0.6995,0.0017
hopper-medium-v2,2Q_tau0.5,43,1688.2,0.6521,0.1285,0.7206,0.0005
hopper-medium-v2,2Q_tau0.5,44,1505.5,0.4456,0.1220,0.6952,0.0006
hopper-medium-v2,2Q_tau0.5,45,1439.7,0.5100,0.0970,0.6668,0.0008
hopper-medium-v2,2Q_tau0.8,42,2044.8,0.7566,0.1691,0.7818,0.0011
hopper-medium-v2,2Q_tau0.8,43,2132.7,0.7486,0.1752,0.7911,0.0003
hopper-medium-v2,2Q_tau0.8,44,1776.2,0.7258,0.1509,0.7522,0.0015
hopper-medium-v2,2Q_tau0.8,45,1643.6,0.6884,0.1349,0.7311,0.0050
hopper-medium-v2,2Q_tau0.9,42,1602.5,0.6681,0.1508,0.7136,0.0012
hopper-medium-v2,2Q_tau0.9,43,2271.9,0.7931,0.1697,0.8054,0.0018
hopper-medium-v2,2Q_tau0.9,44,2039.7,0.5631,0.1793,0.7797,0.0010
hopper-medium-v2,2Q_tau0.9,45,1796.9,0.7228,0.1526,0.7366,0.0031
hopper-medium-v2,3Q,42,1425.6,0.5741,0.1423,0.6870,0.0014
hopper-medium-v2,3Q,43,1453.5,0.5609,0.1044,0.6786,0.0011
hopper-medium-v2,3Q,44,1514.5,0.5539,0.1347,0.7031,0.0011
hopper-medium-v2,3Q,45,1481.5,0.4263,0.1219,0.6995,0.0010
hopper-medium-v2,3Q_tau0.5,42,1477.7,0.5985,0.1481,0.6934,0.0012
hopper-medium-v2,3Q_tau0.5,43,1594.8,0.4745,0.1211,0.7184,0.0023
hopper-medium-v2,3Q_tau0.5,44,1738.9,0.5866,0.0968,0.7191,0.0010
hopper-medium-v2,3Q_tau0.5,45,1697.5,0.6343,0.1563,0.7387,0.0018
hopper-medium-v2,3Q_tau0.8,42,1782.3,0.6680,0.1461,0.7489,0.0012
hopper-medium-v2,3Q_tau0.8,43,1750.3,0.7217,0.1439,0.7430,0.0013
hopper-medium-v2,3Q_tau0.8,44,1739.4,0.6729,0.1461,0.7435,0.0019
hopper-medium-v2,3Q_tau0.8,45,1693.2,0.7131,0.1444,0.7337,0.0019
hopper-medium-v2,3Q_tau0.9,42,1688.2,0.7388,0.1558,0.7335,0.0006
hopper-medium-v2,3Q_tau0.9,43,1723.6,0.7236,0.1444,0.7326,0.0022
hopper-medium-v2,3Q_tau0.9,44,1976.1,0.7668,0.1468,0.7775,0.0017
hopper-medium-v2,3Q_tau0.9,45,2004.1,0.7240,0.1864,0.7726,0.0007
halfcheetah-medium-v2,2Q,42,5510.4,0.2452,0.1437,0.0163,0.0004
halfcheetah-medium-v2,2Q,43,5528.1,0.2551,0.1421,0.0131,0.0002
halfcheetah-medium-v2,2Q,44,5554.9,0.2362,0.1367,0.0150,0.0002
halfcheetah-medium-v2,2Q,45,5579.9,0.2836,0.1438,0.0195,0.0013
halfcheetah-medium-v2,2Q_tau0.5,42,5385.2,0.3047,0.1298,0.0171,0.0004
halfcheetah-medium-v2,2Q_tau0.5,43,5458.6,0.2563,0.1291,0.0119,0.0012
halfcheetah-medium-v2,2Q_tau0.5,44,5428.4,0.2549,0.1286,0.0093,0.0010
halfcheetah-medium-v2,2Q_tau0.5,45,5421.7,0.2750,0.1347,0.0185,0.0010
halfcheetah-medium-v2,2Q_tau0.8,42,5551.2,0.2632,0.1308,0.0129,0.0011
halfcheetah-medium-v2,2Q_tau0.8,43,5526.6,0.2395,0.1313,0.0235,0.0006
halfcheetah-medium-v2,2Q_tau0.8,44,5549.1,0.2706,0.1312,0.0108,0.0004
halfcheetah-medium-v2,2Q_tau0.8,45,5512.6,0.2659,0.1421,0.0188,0.0009
halfcheetah-medium-v2,2Q_tau0.9,42,5512.2,0.2958,0.1430,0.0368,0.0005
halfcheetah-medium-v2,2Q_tau0.9,43,5197.2,0.2136,0.1272,0.0635,0.0008
halfcheetah-medium-v2,2Q_tau0.9,44,5554.9,0.2683,0.1272,0.0052,0.0013
halfcheetah-medium-v2,2Q_tau0.9,45,5514.6,0.2885,0.1501,0.0276,0.0009
halfcheetah-medium-v2,3Q,42,5535.5,0.2552,0.1340,0.0105,0.0011
halfcheetah-medium-v2,3Q,43,5513.5,0.2539,0.1290,0.0180,0.0007
halfcheetah-medium-v2,3Q,44,5499.7,0.2633,0.1412,0.0151,0.0012
halfcheetah-medium-v2,3Q,45,5453.3,0.2599,0.1349,0.0272,0.0015
halfcheetah-medium-v2,3Q_tau0.5,42,5404.1,0.2903,0.1276,0.0118,0.0004
halfcheetah-medium-v2,3Q_tau0.5,43,5393.3,0.2846,0.1273,0.0205,0.0011
halfcheetah-medium-v2,3Q_tau0.5,44,5401.4,0.2580,0.1288,0.0346,0.0007
halfcheetah-medium-v2,3Q_tau0.5,45,5364.4,0.2742,0.1236,0.0250,0.0010
halfcheetah-medium-v2,3Q_tau0.8,42,5522.0,0.2799,0.1439,0.0137,0.0004
halfcheetah-medium-v2,3Q_tau0.8,43,5586.2,0.2597,0.1319,0.0160,0.0009
halfcheetah-medium-v2,3Q_tau0.8,44,5514.3,0.2526,0.1289,0.0213,0.0014
halfcheetah-medium-v2,3Q_tau0.8,45,5565.5,0.2757,0.1478,0.0270,0.0005
halfcheetah-medium-v2,3Q_tau0.9,42,5586.1,0.2758,0.1312,0.0190,0.0005
halfcheetah-medium-v2,3Q_tau0.9,43,5544.3,0.2506,0.1514,0.0365,0.0005
halfcheetah-medium-v2,3Q_tau0.9,44,5423.3,0.2399,0.1222,0.0433,0.0009
halfcheetah-medium-v2,3Q_tau0.9,45,5541.1,0.2619,0.1333,0.0120,0.0006
walker2d-medium-v2,2Q,42,3549.5,0.6925,0.1182,0.1610,0.0012
