shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,4443.622784589892,1000.0,0.1920238773940855
gravity,1.0,5499.695672018321,1000.0,0.0
gravity,1.5,4469.803575290807,1000.0,0.1872634702257181
gravity,2.0,2822.635207704153,1000.0,0.486765200106376
obs_noise,0.0,5499.695672018321,1000.0,0.0
obs_noise,0.01,5525.795994807536,1000.0,-0.004745775829380878
obs_noise,0.1,3144.7303960695126,1000.0,0.42819919799027073
obs_noise,0.3,1162.3271347229115,1000.0,0.7886560995298943
friction,0.5,5441.588163799157,1000.0,0.010565586113211057
friction,1.0,5499.695672018321,1000.0,0.0
friction,1.5,5586.7374249072045,1000.0,-0.015826648978368028
friction,2.0,5600.5738282350185,1000.0,-0.018342497882192225
reward_perturb,0.0,5499.695672018321,1000.0,0.0
reward_perturb,0.1,5499.132493203394,1000.0,0.00010240181430257341
reward_perturb,0.5,5496.107065535279,1000.0,0.0006525100109266612
reward_perturb,1.0,5480.943238726635,1000.0,0.0034097219937269017
