shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,421.18726886833093,217.4,0.7045482057278997
gravity,1.0,1425.5701844898354,444.4,0.0
gravity,1.5,753.9723177113569,231.6,0.4711082443259861
gravity,2.0,499.219573191611,181.3,0.6498105960526487
obs_noise,0.0,1425.5701844898354,444.4,0.0
obs_noise,0.01,1647.8026790369968,511.4,-0.15589025146923308
obs_noise,0.1,891.7161139199559,290.0,0.3744845931671391
obs_noise,0.3,282.66146172476067,144.0,0.8017204169951718
friction,0.5,673.8396787913604,231.7,0.5273191834939327
friction,1.0,1425.5701844898354,444.4,0.0
friction,1.5,402.48895808783175,157.8,0.7176645790807772
friction,2.0,305.7737514044726,132.4,0.7855077535071352
reward_perturb,0.0,1425.5701844898354,444.4,0.0
reward_perturb,0.1,1426.7192240030859,444.4,-0.0008060210053156404
reward_perturb,0.5,1426.1229828717865,444.4,-0.00038777352947300505
reward_perturb,1.0,1431.6597316794137,444.4,-0.004271657232896987
