shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,1426.037931979327,780.5,0.5775524049602898
gravity,1.0,3375.656409750135,907.7,0.0
gravity,1.5,600.0781372221683,204.1,0.8222336445471992
gravity,2.0,396.5471614310919,141.8,0.8825273922174905
obs_noise,0.0,3375.656409750135,907.7,0.0
obs_noise,0.01,3288.793290031043,889.3,0.02573221595308086
obs_noise,0.1,3093.9923945445826,804.5,0.08343977615494379
obs_noise,0.3,365.28863352910344,226.0,0.8917873772715684
friction,0.5,3092.9951981595414,890.4,0.083735184296057
friction,1.0,3375.656409750135,907.7,0.0
friction,1.5,3539.54542490863,1000.0,-0.048550265567645884
friction,2.0,1999.3289828916327,632.7,0.40772142060523797
reward_perturb,0.0,3375.656409750135,907.7,0.0
reward_perturb,0.1,3377.3628350505023,907.7,-0.000505509179026194
reward_perturb,0.5,3376.4282039314917,907.7,-0.00022863528975503226
reward_perturb,1.0,3379.4404358981365,907.7,-0.001120974912337575
