env,config,shift_type,num_seeds,baseline_mean,baseline_std,worst_mean,worst_std,audc_mean,audc_std
halfcheetah-medium-v2,2Q,gravity,4,5543.31,30.51,2789.49,41.81,0.2550,0.0206
halfcheetah-medium-v2,2Q,obs_noise,4,5543.31,30.51,1144.74,81.44,0.1416,0.0033
halfcheetah-medium-v2,2Q,friction,4,5543.31,30.51,5406.49,77.14,0.0160,0.0027
halfcheetah-medium-v2,2Q,reward_perturb,4,5543.31,30.51,5539.70,30.16,0.0005,0.0005
halfcheetah-medium-v2,2Q_tau0.5,gravity,4,5423.48,30.14,2664.77,48.38,0.2727,0.0232
halfcheetah-medium-v2,2Q_tau0.5,obs_noise,4,5423.48,30.14,1176.91,110.14,0.1305,0.0028
halfcheetah-medium-v2,2Q_tau0.5,friction,4,5423.48,30.14,5372.56,20.80,0.0142,0.0043
halfcheetah-medium-v2,2Q_tau0.5,reward_perturb,4,5423.48,30.14,5412.70,28.41,0.0009,0.0004
halfcheetah-medium-v2,2Q_tau0.8,gravity,4,5534.87,18.56,2813.18,74.80,0.2598,0.0139
halfcheetah-medium-v2,2Q_tau0.8,obs_noise,4,5534.87,18.56,1155.35,62.83,0.1339,0.0055
halfcheetah-medium-v2,2Q_tau0.8,friction,4,5534.87,18.56,5350.28,156.98,0.0165,0.0058
halfcheetah-medium-v2,2Q_tau0.8,reward_perturb,4,5534.87,18.56,5529.22,16.68,0.0008,0.0003
halfcheetah-medium-v2,2Q_tau0.9,gravity,4,5444.71,166.17,2867.59,105.89,0.2665,0.0372
halfcheetah-medium-v2,2Q_tau0.9,obs_noise,4,5444.71,166.17,1210.64,90.17,0.1368,0.0115
halfcheetah-medium-v2,2Q_tau0.9,friction,4,5444.71,166.17,5217.97,230.98,0.0333,0.0241
halfcheetah-medium-v2,2Q_tau0.9,reward_perturb,4,5444.71,166.17,5440.79,169.07,0.0009,0.0003
halfcheetah-medium-v2,3Q,gravity,4,5500.51,34.76,2765.40,51.82,0.2581,0.0043
halfcheetah-medium-v2,3Q,obs_noise,4,5500.51,34.76,1174.15,79.19,0.1348,0.0050
halfcheetah-medium-v2,3Q,friction,4,5500.51,34.76,5444.41,28.81,0.0177,0.0070
halfcheetah-medium-v2,3Q,reward_perturb,4,5500.51,34.76,5494.57,36.07,0.0011,0.0003
halfcheetah-medium-v2,3Q_tau0.5,gravity,4,5390.77,18.19,2653.07,73.42,0.2768,0.0142
halfcheetah-medium-v2,3Q_tau0.5,obs_noise,4,5390.77,18.19,1152.36,54.72,0.1268,0.0023
halfcheetah-medium-v2,3Q_tau0.5,friction,4,5390.77,18.19,5226.24,160.01,0.0229,0.0095
halfcheetah-medium-v2,3Q_tau0.5,reward_perturb,4,5390.77,18.19,5387.24,19.60,0.0008,0.0003
halfcheetah-medium-v2,3Q_tau0.8,gravity,4,5547.02,34.50,2804.61,109.11,0.2670,0.0129
halfcheetah-medium-v2,3Q_tau0.8,obs_noise,4,5547.02,34.50,1260.66,79.30,0.1381,0.0091
halfcheetah-medium-v2,3Q_tau0.8,friction,4,5547.02,34.50,5380.79,112.22,0.0195,0.0059
halfcheetah-medium-v2,3Q_tau0.8,reward_perturb,4,5547.02,34.50,5537.08,37.11,0.0008,0.0004
halfcheetah-medium-v2,3Q_tau0.9,gravity,4,5523.71,69.99,2850.07,50.30,0.2570,0.0154
halfcheetah-medium-v2,3Q_tau0.9,obs_noise,4,5523.71,69.99,1157.35,170.72,0.1345,0.0122
halfcheetah-medium-v2,3Q_tau0.9,friction,4,5523.71,69.99,5267.57,201.31,0.0277,0.0146
halfcheetah-medium-v2,3Q_tau0.9,reward_perturb,4,5523.71,69.99,5518.45,72.57,0.0006,0.0002
