env,config,shift_type,num_seeds,baseline_mean,baseline_std,worst_mean,worst_std,audc_mean,audc_std
hopper-medium-v2,2Q,gravity,4,1571.16,136.28,377.06,19.72,0.6156,0.0266
hopper-medium-v2,2Q,obs_noise,4,1571.16,136.28,347.69,54.63,0.1342,0.0199
hopper-medium-v2,2Q,friction,4,1571.16,136.28,305.60,1.09,0.7128,0.0263
hopper-medium-v2,2Q,reward_perturb,4,1571.16,136.28,1568.16,139.04,0.0019,0.0007
hopper-medium-v2,2Q_tau0.5,gravity,4,1529.16,109.46,423.91,5.88,0.5383,0.0864
hopper-medium-v2,2Q_tau0.5,obs_noise,4,1529.16,109.46,427.91,40.27,0.1130,0.0147
hopper-medium-v2,2Q_tau0.5,friction,4,1529.16,109.46,305.40,1.36,0.6955,0.0221
hopper-medium-v2,2Q_tau0.5,reward_perturb,4,1529.16,109.46,1525.78,110.76,0.0009,0.0006
hopper-medium-v2,2Q_tau0.8,gravity,4,1899.33,228.20,359.36,20.78,0.7299,0.0306
hopper-medium-v2,2Q_tau0.8,obs_noise,4,1899.33,228.20,267.60,49.88,0.1575,0.0183
hopper-medium-v2,2Q_tau0.8,friction,4,1899.33,228.20,304.93,1.10,0.7640,0.0275
hopper-medium-v2,2Q_tau0.8,reward_perturb,4,1899.33,228.20,1895.14,231.73,0.0020,0.0021
hopper-medium-v2,2Q_tau0.9,gravity,4,1927.76,290.91,390.27,27.88,0.6868,0.0970
hopper-medium-v2,2Q_tau0.9,obs_noise,4,1927.76,290.91,292.91,40.06,0.1631,0.0138
hopper-medium-v2,2Q_tau0.9,friction,4,1927.76,290.91,305.37,1.29,0.7588,0.0414
hopper-medium-v2,2Q_tau0.9,reward_perturb,4,1927.76,290.91,1921.24,290.94,0.0018,0.0009
hopper-medium-v2,3Q,gravity,4,1468.79,38.08,406.09,29.61,0.5288,0.0689
hopper-medium-v2,3Q,obs_noise,4,1468.79,38.08,361.13,103.32,0.1258,0.0166
hopper-medium-v2,3Q,friction,4,1468.79,38.08,304.85,0.88,0.6920,0.0113
hopper-medium-v2,3Q,reward_perturb,4,1468.79,38.08,1467.89,38.22,0.0012,0.0002
hopper-medium-v2,3Q_tau0.5,gravity,4,1627.22,116.66,401.94,28.60,0.5735,0.0690
hopper-medium-v2,3Q_tau0.5,obs_noise,4,1627.22,116.66,344.24,58.04,0.1306,0.0271
hopper-medium-v2,3Q_tau0.5,friction,4,1627.22,116.66,304.76,1.70,0.7174,0.0186
hopper-medium-v2,3Q_tau0.5,reward_perturb,4,1627.22,116.66,1622.64,116.31,0.0016,0.0006
hopper-medium-v2,3Q_tau0.8,gravity,4,1741.30,36.87,364.58,14.75,0.6939,0.0274
hopper-medium-v2,3Q_tau0.8,obs_noise,4,1741.30,36.87,333.97,45.80,0.1451,0.0011
hopper-medium-v2,3Q_tau0.8,friction,4,1741.30,36.87,303.78,2.70,0.7423,0.0063
hopper-medium-v2,3Q_tau0.8,reward_perturb,4,1741.30,36.87,1739.90,36.67,0.0016,0.0004
hopper-medium-v2,3Q_tau0.9,gravity,4,1848.01,165.12,375.20,9.34,0.7383,0.0203
hopper-medium-v2,3Q_tau0.9,obs_noise,4,1848.01,165.12,306.20,43.12,0.1583,0.0193
hopper-medium-v2,3Q_tau0.9,friction,4,1848.01,165.12,304.57,1.67,0.7541,0.0243
hopper-medium-v2,3Q_tau0.9,reward_perturb,4,1848.01,165.12,1844.03,163.33,0.0013,0.0008
