env,config,shift_type,num_seeds,baseline_mean,baseline_std,worst_mean,worst_std,audc_mean,audc_std
walker2d-medium-v2,2Q,gravity,4,3359.76,151.79,352.01,21.60,0.7164,0.0241
walker2d-medium-v2,2Q,obs_noise,4,3359.76,151.79,391.51,19.19,0.1221,0.0097
walker2d-medium-v2,2Q,friction,4,3359.76,151.79,2304.80,540.70,0.1094,0.0450
walker2d-medium-v2,2Q,reward_perturb,4,3359.76,151.79,3354.36,152.92,0.0009,0.0004
walker2d-medium-v2,2Q_tau0.5,gravity,4,3375.56,178.83,365.02,42.25,0.7487,0.0737
walker2d-medium-v2,2Q_tau0.5,obs_noise,4,3375.56,178.83,405.81,33.84,0.1100,0.0085
walker2d-medium-v2,2Q_tau0.5,friction,4,3375.56,178.83,2472.15,494.08,0.1133,0.0308
walker2d-medium-v2,2Q_tau0.5,reward_perturb,4,3375.56,178.83,3371.21,181.47,0.0007,0.0003
walker2d-medium-v2,2Q_tau0.8,gravity,4,3392.33,142.00,388.36,12.20,0.7592,0.0280
walker2d-medium-v2,2Q_tau0.8,obs_noise,4,3392.33,142.00,342.74,32.09,0.1193,0.0127
walker2d-medium-v2,2Q_tau0.8,friction,4,3392.33,142.00,1901.17,366.36,0.1872,0.0947
walker2d-medium-v2,2Q_tau0.8,reward_perturb,4,3392.33,142.00,3389.54,139.90,0.0008,0.0006
walker2d-medium-v2,2Q_tau0.9,gravity,4,3362.44,236.68,407.69,14.48,0.7449,0.0398
walker2d-medium-v2,2Q_tau0.9,obs_noise,4,3362.44,236.68,395.16,70.45,0.1317,0.0076
walker2d-medium-v2,2Q_tau0.9,friction,4,3362.44,236.68,1882.88,169.72,0.1623,0.0394
walker2d-medium-v2,2Q_tau0.9,reward_perturb,4,3362.44,236.68,3355.16,233.01,0.0011,0.0006
walker2d-medium-v2,3Q,gravity,4,3423.43,103.80,332.08,19.71,0.7393,0.0379
walker2d-medium-v2,3Q,obs_noise,4,3423.43,103.80,380.47,16.91,0.1068,0.0192
walker2d-medium-v2,3Q,friction,4,3423.43,103.80,2176.47,253.21,0.1312,0.0175
walker2d-medium-v2,3Q,reward_perturb,4,3423.43,103.80,3415.90,97.82,0.0015,0.0008
walker2d-medium-v2,3Q_tau0.5,gravity,4,3618.41,104.62,329.28,26.99,0.7568,0.0402
walker2d-medium-v2,3Q_tau0.5,obs_noise,4,3618.41,104.62,398.21,62.20,0.1133,0.0138
walker2d-medium-v2,3Q_tau0.5,friction,4,3618.41,104.62,2447.92,43.78,0.1250,0.0403
walker2d-medium-v2,3Q_tau0.5,reward_perturb,4,3618.41,104.62,3614.71,102.95,0.0008,0.0002
walker2d-medium-v2,3Q_tau0.8,gravity,4,3480.96,212.97,380.80,9.81,0.7588,0.0248
walker2d-medium-v2,3Q_tau0.8,obs_noise,4,3480.96,212.97,359.76,50.77,0.1100,0.0136
walker2d-medium-v2,3Q_tau0.8,friction,4,3480.96,212.97,2288.47,491.23,0.1177,0.0437
walker2d-medium-v2,3Q_tau0.8,reward_perturb,4,3480.96,212.97,3475.51,213.89,0.0015,0.0004
walker2d-medium-v2,3Q_tau0.9,gravity,4,3370.12,277.52,395.47,12.48,0.7383,0.0436
walker2d-medium-v2,3Q_tau0.9,obs_noise,4,3370.12,277.52,417.00,24.73,0.1257,0.0210
walker2d-medium-v2,3Q_tau0.9,friction,4,3370.12,277.52,1960.98,275.50,0.2013,0.0104
walker2d-medium-v2,3Q_tau0.9,reward_perturb,4,3370.12,277.52,3366.50,276.07,0.0010,0.0003
